feature,type
fighter1_height,numeric	
fighter1_reach,numeric	
fighter1_stance,categorical
fighter2_height,numeric	
fighter2_reach,numeric	
fighter2_stance,categorical
fighter1_age,numeric	
fighter2_age,numeric	
delta_age,numeric	
delta_height,numeric	
ratio_height,numeric	
delta_reach,numeric	
ratio_reach,numeric	
fighter1_stance_Orthodox,binary
fighter2_stance_Orthodox,binary	
fighter1_stance_Southpaw,binary	
fighter2_stance_Southpaw,binary	
fighter1_stance_Switch,binary	
fighter2_stance_Switch,binary	
same_stance,binary	
fighter1_win_rate,numeric	
fighter2_win_rate,numeric
